2026-08-19 07:31:56 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | [run] start Compare α-policies (static/continuous/state abrupt|gradual)
2026-08-19 07:31:57 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric users[test]=671 step=0
2026-08-19 07:31:57 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | [adaptation] policy_start static-0.5
2026-08-19 07:32:01 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric ndcg_at_k[test]=0.0026364204757001013 step=0
2026-08-19 07:32:01 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric hit_rate_at_k[test]=0.0054893780534665424 step=0
2026-08-19 07:32:01 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric mrr[test]=0.0023712777855369365 step=0
2026-08-19 07:32:01 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric ndcg_at_k_seen[test]=0.005706032054868569 step=0
2026-08-19 07:32:01 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric mean_alpha[test]=0.5 step=0
2026-08-19 07:32:01 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric alpha_changes_per_1k[test]=0.0 step=0
2026-08-19 07:32:01 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric confirmed_frac[test]=0.0 step=0
2026-08-19 07:32:01 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | [adaptation] policy_start continuous
2026-08-19 07:32:04 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric ndcg_at_k[test]=0.0027094676390939723 step=0
2026-08-19 07:32:04 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric hit_rate_at_k[test]=0.005928528297743866 step=0
2026-08-19 07:32:04 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric mrr[test]=0.0023159177979368245 step=0
2026-08-19 07:32:04 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric ndcg_at_k_seen[test]=0.005864128784765938 step=0
2026-08-19 07:32:04 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric mean_alpha[test]=0.7500239812143472 step=0
2026-08-19 07:32:04 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric alpha_changes_per_1k[test]=556.677828402042 step=0
2026-08-19 07:32:04 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric confirmed_frac[test]=0.0 step=0
2026-08-19 07:32:04 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | [adaptation] policy_start state-abrupt
2026-08-19 07:32:07 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric ndcg_at_k[test]=0.0027153731365275515 step=0
2026-08-19 07:32:07 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric hit_rate_at_k[test]=0.005983422078278531 step=0
2026-08-19 07:32:07 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric mrr[test]=0.0023029665675042632 step=0
2026-08-19 07:32:07 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric ndcg_at_k_seen[test]=0.005876910113831817 step=0
2026-08-19 07:32:07 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric mean_alpha[test]=0.7921282318713291 step=0
2026-08-19 07:32:07 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric alpha_changes_per_1k[test]=21.84772465279684 step=0
2026-08-19 07:32:07 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric confirmed_frac[test]=0.0 step=0
2026-08-19 07:32:07 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | [adaptation] policy_start state-gradual
2026-08-19 07:32:12 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric ndcg_at_k[test]=0.002714392269395334 step=0
2026-08-19 07:32:12 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric hit_rate_at_k[test]=0.005983422078278531 step=0
2026-08-19 07:32:12 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric mrr[test]=0.002302344611954347 step=0
2026-08-19 07:32:12 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric ndcg_at_k_seen[test]=0.00587478721297075 step=0
2026-08-19 07:32:12 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric mean_alpha[test]=0.7965938409178241 step=0
2026-08-19 07:32:12 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric alpha_changes_per_1k[test]=49.73376516440687 step=0
2026-08-19 07:32:12 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | metric confirmed_frac[test]=0.0 step=0
2026-08-19 07:32:12 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | [report] table_saved policy-comparison.csv
2026-08-19 07:32:12 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | [adaptation] illustrate synthetic control-law ramp
2026-08-19 07:32:12 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | [report] figure_saved alpha-trajectory-gradual-synthetic.png
2026-08-19 07:32:12 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | [report] figure_saved alpha-policy-comparison-synthetic.png
2026-08-19 07:32:12 | INFO     | lab.20260819-053156__phase6-adaptive-fusion | [run] end completed
