2026-08-19 09:10:56 | INFO     | lab.20260819-071056__phase8-full-evaluation | [run] start Control vs injected; baselines A/B/D vs proposed; recovery curves
2026-08-19 09:10:56 | INFO     | lab.20260819-071056__phase8-full-evaluation | [evaluation] scenario_start sudden
2026-08-19 09:11:11 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric recovery_latency_full[all]=2.0 step=0
2026-08-19 09:11:11 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric degradation_detected[all]=0.0003190034584841969 step=0
2026-08-19 09:11:11 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric recovery_latency_full[all]=0.0 step=0
2026-08-19 09:11:11 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric degradation_detected[all]=0.0001709270505900635 step=0
2026-08-19 09:11:11 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric recovery_latency_full[all]=2.0 step=0
2026-08-19 09:11:11 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric degradation_detected[all]=0.00029253919477271236 step=0
2026-08-19 09:11:11 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric recovery_latency_full[all]=2.0 step=0
2026-08-19 09:11:11 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric degradation_detected[all]=0.0003192447217085379 step=0
2026-08-19 09:11:11 | INFO     | lab.20260819-071056__phase8-full-evaluation | [report] figure_saved recovery-full-sudden.png
2026-08-19 09:11:11 | INFO     | lab.20260819-071056__phase8-full-evaluation | [report] figure_saved recovery-detected-sudden.png
2026-08-19 09:11:11 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric detection_rate[all]=0.03666666666666667 step=0
2026-08-19 09:11:11 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric detected_users[all]=11 step=0
2026-08-19 09:11:11 | INFO     | lab.20260819-071056__phase8-full-evaluation | [evaluation] scenario_start gradual
2026-08-19 09:11:31 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric recovery_latency_full[all]=7.0 step=0
2026-08-19 09:11:31 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric degradation_detected[all]=0.004284437670969897 step=0
2026-08-19 09:11:31 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric recovery_latency_full[all]=0.0 step=0
2026-08-19 09:11:31 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric degradation_detected[all]=0.004174433484581904 step=0
2026-08-19 09:11:31 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric recovery_latency_full[all]=5.0 step=0
2026-08-19 09:11:31 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric degradation_detected[all]=0.004617659388024317 step=0
2026-08-19 09:11:31 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric recovery_latency_full[all]=3.0 step=0
2026-08-19 09:11:31 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric degradation_detected[all]=0.003977209254643105 step=0
2026-08-19 09:11:31 | INFO     | lab.20260819-071056__phase8-full-evaluation | [report] figure_saved recovery-full-gradual.png
2026-08-19 09:11:31 | INFO     | lab.20260819-071056__phase8-full-evaluation | [report] figure_saved recovery-detected-gradual.png
2026-08-19 09:11:31 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric detection_rate[all]=0.03666666666666667 step=0
2026-08-19 09:11:31 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric detected_users[all]=11 step=0
2026-08-19 09:11:31 | INFO     | lab.20260819-071056__phase8-full-evaluation | [evaluation] scenario_start recurring
2026-08-19 09:11:50 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric recovery_latency_full[all]=2.0 step=0
2026-08-19 09:11:50 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric degradation_detected[all]=0.00021736672940624033 step=0
2026-08-19 09:11:50 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric recovery_latency_full[all]=0.0 step=0
2026-08-19 09:11:50 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric degradation_detected[all]=8.472632294449958e-05 step=0
2026-08-19 09:11:50 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric recovery_latency_full[all]=2.0 step=0
2026-08-19 09:11:50 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric degradation_detected[all]=0.00019039651576283732 step=0
2026-08-19 09:11:50 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric recovery_latency_full[all]=2.0 step=0
2026-08-19 09:11:50 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric degradation_detected[all]=0.00021742257073533857 step=0
2026-08-19 09:11:50 | INFO     | lab.20260819-071056__phase8-full-evaluation | [report] figure_saved recovery-full-recurring.png
2026-08-19 09:11:50 | INFO     | lab.20260819-071056__phase8-full-evaluation | [report] figure_saved recovery-detected-recurring.png
2026-08-19 09:11:50 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric detection_rate[all]=0.03666666666666667 step=0
2026-08-19 09:11:50 | INFO     | lab.20260819-071056__phase8-full-evaluation | metric detected_users[all]=11 step=0
2026-08-19 09:11:50 | INFO     | lab.20260819-071056__phase8-full-evaluation | [report] table_saved policy-scenario-summary.csv
2026-08-19 09:11:50 | INFO     | lab.20260819-071056__phase8-full-evaluation | [run] end completed
